Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2019-03-17 23:30:39, 2019-03-18 07:34:44,80,8.04, :|, Games night,73,7316,9

 2019-03-19 23:15:46, 2019-03-20 07:04:55,82,7.49, :|, ,86,7219,8

 2019-03-24 22:44:54, 2019-03-25 06:07:15,83,7.22, :|, ,69,8264,8

 2019-03-25 23:11:58, 2019-03-26 07:12:03,91,8, :|, Worked out,64,2985,8

 2019-03-27 23:04:19, 2019-03-28 03:10:03,46,4.05, :|, Pole fitness:Worked out,79,5802,5

 2019-03-28 22:30:41, 2019-03-29 07:47:47,86,9.17, :|, Away from home,61,18812,10

 2019-03-30 01:29:33, 2019-03-30 07:59:35,56,6.3, :|, Away from home,85,30589,7

 2019-03-30 23:01:50, 2019-03-31 07:50:02,70,7.48, :|, Away from home,70,20422,8

 2019-04-03 23:14:04, 2019-04-04 06:50:04,91,7.35, :|, Pole fitness:??,81,6959,8

 2019-04-04 23:20:14, 2019-04-05 05:56:45,71,6.36, , ,0,6685,7

 2019-04-07 23:49:47, 2019-04-08 07:01:26,79,7.11, :(, ,79,10141,8

 2019-04-08 23:21:43, 2019-04-09 07:26:57,95,8.05, :|, ,88,4285,9

 2019-04-10 00:39:37, 2019-04-10 07:14:22,78,6.34, :|, ,83,5310,7

 2019-04-11 23:04:10, 2019-04-12 06:00:14,80,6.56, :(, ,64,4041,7

 2019-04-13 00:05:12, 2019-04-13 07:39:38,85,7.34, :|, Climbing,94,5340,8

 2019-04-13 23:35:18, 2019-04-14 04:51:17,0,0, , Pole fitness,0,0,

 2019-04-15 23:30:04, 2019-04-16 06:33:24,76,7.03, :|, ,92,4082,8

 2019-04-16 22:46:11, 2019-04-17 06:20:04,76,7.33, :|, ,88,7483,8

 2019-04-17 22:40:58, 2019-04-18 06:36:13,93,7.55, :(, ,93,5845,8

 2019-04-19 01:29:21, 2019-04-19 08:47:48,76,7.18, :|, ,77,4893,8

 2019-04-21 22:36:39, 2019-04-22 06:13:54,80,7.37, :|, ,73,10232,8

 2019-04-22 23:14:54, 2019-04-23 07:27:08,80,8.12, :|, ,92,6164,9

 2019-04-24 22:14:32, 2019-04-25 06:40:30,88,8.25, :|, Feeling ill ??,82,5612,9

 2019-04-27 01:00:49, 2019-04-27 07:41:51,69,6.41, :|, ,91,567,7

 2019-05-16 23:32:27, 2019-05-17 07:32:30,85,8, :|, Dance:??,87,5497,8

 2019-05-21 01:34:26, 2019-05-21 07:17:42,63,5.43, :|, Drinking alcohol:??,84,5776,6

 2019-05-21 23:38:55, 2019-05-22 05:54:19,70,6.15, :|, Pilates:Pole fitness:??,81,8180,7

 2019-05-22 23:18:26, 2019-05-23 05:57:53,71,6.39, :(, Pole fitness:Stressful day,75,7045,7

 2019-05-23 22:23:09, 2019-05-24 05:39:01,79,7.15, :|, Dance,78,16721,8

 2019-05-24 23:56:29, 2019-05-25 07:27:00,82,7.3, :|, Water workout,83,16906,8

 2019-05-25 22:00:02, 2019-05-26 06:59:58,89,8.59, :(, Climbing:??,66,6738,9

 2019-05-26 22:22:41, 2019-05-27 06:48:27,96,8.25, :|, Worked out,74,2900,9

 2019-05-27 22:53:31, 2019-05-28 06:57:49,85,8.04, :|, ??,79,9180,9

 2019-05-30 23:12:58, 2019-05-31 06:37:04,86,7.24, :|, Dance,67,8745,8

 2019-05-31 23:47:05, 2019-06-01 06:50:29,80,7.03, :|, Cycled to work:Water workout,84,10574,8

 2019-06-02 22:55:04, 2019-06-03 07:14:14,88,8.19, :|, ,79,6464,9

 2019-06-03 23:32:12, 2019-06-04 07:06:04,84,7.33, :(, ??,77,6417,8

 2019-06-04 23:27:28, 2019-06-05 07:08:55,79,7.41, :|, Pilates:Pole fitness:??,67,7773,8

 2019-06-07 00:54:48, 2019-06-07 03:01:25,26,2.06, :(, Dance:??,91,10902,3

 2019-06-07 19:07:01, 2019-06-08 02:52:11,83,7.45, :(, Swimming :??,91,9161,8

 2019-06-08 20:37:48, 2019-06-09 05:05:55,78,8.28, :(, ,81,12561,9

 2019-06-09 21:28:52, 2019-06-10 03:50:54,72,6.22, :(, Away from home:??,75,2957,7

 2019-06-10 20:14:11, 2019-06-11 06:10:31,92,9.56, :|, ,85,16529,10

 2019-06-11 20:55:28, 2019-06-12 06:23:37,98,9.28, :|, ,86,10039,10

 2019-06-12 22:22:16, 2019-06-13 06:13:59,82,7.51, :|, Away from home:??,87,12685,8

 2019-06-13 20:19:33, 2019-06-14 06:23:48,91,10.04, :(, ,119,8297,11

 2019-06-15 23:54:46, 2019-06-16 07:09:12,85,7.14, :|, ,86,19137,8

 2019-06-16 21:07:53, 2019-06-17 05:59:08,98,8.51, :|, Away from home:??,85,10157,9

 2019-06-18 00:01:41, 2019-06-18 05:25:09,62,5.23, :(, ??,74,22542,6

 2019-06-19 22:26:29, 2019-06-20 06:18:01,81,7.51, :|, ,94,11748,8

 2019-06-20 22:18:52, 2019-06-21 05:28:29,83,7.09, :|, Away from home:??,80,12360,8

 2019-06-21 22:22:14, 2019-06-22 04:50:12,51,6.27, :|, ,80,10321,7

 2019-06-27 00:43:19, 2019-06-27 07:48:53,74,7.05, :|, ,79,8110,8

 2019-06-28 03:48:25, 2019-06-28 07:00:35,38,3.12, :(, Away from home:Drinking alcohol,99,5041,4

 2019-06-30 02:48:19, 2019-06-30 07:42:15,54,4.53, :|, ,95,7106,5

 2019-07-01 23:19:38, 2019-07-02 06:35:17,87,7.15, :|, Pole fitness:Stressful day,86,9636,8

 2019-07-04 23:01:29, 2019-07-05 07:21:42,96,8.2, :|, ,85,5051,9

 2019-07-05 22:40:08, 2019-07-05 23:28:08,10,0.48, , ,0,0,1

 2019-07-07 23:23:21, 2019-07-08 06:50:34,85,7.27, :|, ,79,7471,8

 2019-07-13 00:10:02, 2019-07-13 08:05:35,91,7.55, :|, ,97,13508,8

 2019-07-15 00:16:39, 2019-07-15 07:33:28,87,7.16, :|, ,81,7833,8

 2019-07-17 00:14:16, 2019-07-17 06:33:10,55,6.18, :(, Cycled to work,71,7800,7

 2019-07-18 00:11:10, 2019-07-18 06:34:37,77,6.23, :|, Climbing:Pole fitness:Stressful day,91,7700,7

 2019-07-18 23:37:14, 2019-07-19 03:35:38,46,3.58, :|, ,83,8724,4

 2019-07-20 06:28:41, 2019-07-20 11:10:24,56,4.41, :), Stressful day,69,11952,5

 2019-07-21 02:45:49, 2019-07-21 09:00:49,75,6.15, , Stressful day:Swimming ,0,0,7

 2019-07-22 03:31:51, 2019-07-22 11:05:52,88,7.34, :|, ,77,21629,8

 2019-07-23 03:15:08, 2019-07-23 09:35:53,76,6.2, , ,0,18886,7

 2019-07-24 02:36:29, 2019-07-24 12:48:00,93,10.11, :|, ,89,17593,11

 2019-07-26 02:07:36, 2019-07-26 11:48:24,77,9.4, :), ,82,12324,10
