Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2018-04-02 03:32:02, 2018-04-02 09:46:46,59,6.14, :|, Drinking alcohol:Stressful day,91,13084,7

 2018-04-02 21:48:50, 2018-04-03 06:57:36,92,9.08, :|, ??,99,1163,10

 2018-04-03 22:45:29, 2018-04-04 07:18:32,91,8.33, :|, ,77,5825,9

 2018-04-04 23:46:25, 2018-04-05 06:27:29,71,6.41, :|, ??,81,10406,7

 2018-04-05 22:32:49, 2018-04-06 06:29:18,83,7.56, :|, Pole fitness:Worked out,78,8181,8

 2018-04-06 23:55:13, 2018-04-07 07:26:51,67,7.31, :|, Away from home:Drinking alcohol,89,7693,8

 2018-04-08 01:24:49, 2018-04-08 09:08:49,80,7.44, :), Drinking alcohol,90,10240,8

 2018-04-09 22:26:58, 2018-04-10 06:16:14,80,7.49, :|, Stressful day,86,3625,8

 2018-04-11 00:21:09, 2018-04-11 06:37:47,74,6.16, :(, ,78,11996,7

 2018-04-12 00:24:30, 2018-04-12 06:41:47,64,6.17, :(, ??,78,5604,7

 2018-04-12 22:53:29, 2018-04-13 06:25:08,77,7.31, :(, Feeling ill ??:??,99,6254,8

 2018-04-14 23:18:32, 2018-04-15 07:05:43,83,7.47, :(, ??,84,8211,8

 2018-04-15 22:48:23, 2018-04-16 06:35:19,76,7.46, :(, Feeling ill ??,92,4156,8

 2018-04-17 01:02:54, 2018-04-17 06:36:31,56,5.33, :|, Feeling ill ??,89,5694,6

 2018-04-20 00:19:19, 2018-04-20 05:31:41,56,5.12, :(, ,77,8156,6

 2018-04-22 21:12:37, 2018-04-23 06:42:29,92,9.29, :|, Feeling ill ??:??,83,529,10

 2018-04-24 00:50:54, 2018-04-24 07:08:05,45,6.17, :(, Feeling ill ??:??,94,6674,7

 2018-05-04 00:32:31, 2018-05-04 06:21:53,70,5.49, :(, ,90,5593,6

 2018-05-06 00:43:04, 2018-05-06 06:59:03,55,6.15, :|, ,86,12699,7

 2018-05-10 23:11:14, 2018-05-11 06:41:23,80,7.3, :(, Swimming ,73,9348,8

 2018-05-31 23:43:04, 2018-06-01 06:21:00,80,6.37, :(, Feeling ill ??:??,94,11263,7

 2018-06-05 22:28:52, 2018-06-06 06:30:39,84,8.01, :(, ??,88,8561,9

 2018-06-07 23:12:22, 2018-06-08 06:06:55,78,6.54, :|, ??,89,7485,7

 2018-06-08 23:09:25, 2018-06-09 06:07:41,78,6.58, :(, Climbing,89,4865,7

 2018-06-10 23:05:45, 2018-06-11 06:32:18,78,7.26, :(, ,81,3913,8

 2018-06-12 00:35:53, 2018-06-12 07:17:24,70,6.41, :), ,81,10486,7

 2018-06-12 23:55:35, 2018-06-13 06:51:26,80,6.55, :|, Pole fitness,83,6218,7

 2018-06-14 01:04:03, 2018-06-14 05:56:34,55,4.52, :|, Climbing:??,85,6765,5

 2018-06-14 05:57:09, 2018-06-14 06:25:25,6,0.28, :|, ,96,6846,1

 2018-06-15 21:36:18, 2018-06-16 07:21:19,85,9.45, :|, Away from home,93,19950,10

 2018-06-16 20:22:08, 2018-06-17 01:58:56,51,5.36, :(, Away from home,73,17055,6

 2018-06-17 22:21:56, 2018-06-18 05:09:10,70,6.47, :|, Away from home:Feeling ill ??:??,84,26143,7

 2018-06-18 21:47:09, 2018-06-19 01:50:35,36,4.03, :|, Away from home,103,19783,5

 2018-06-20 23:11:54, 2018-06-21 05:55:18,72,6.43, :|, Pole fitness:Worked out:??,92,9123,7

 2018-06-23 00:34:48, 2018-06-23 06:15:39,60,5.4, :), Climbing:Worked out,0,5970,6

 2018-06-24 23:41:23, 2018-06-25 05:40:22,74,5.58, :(, Climbing:Swimming :Worked out,81,13832,6

 2018-06-26 23:16:04, 2018-06-27 06:22:14,78,7.06, :|, Pole fitness:Totm:Worked out,92,8098,8

 2018-06-29 00:13:55, 2018-06-29 06:52:23,55,6.38, :|, ,81,2395,7

 2018-06-30 22:43:04, 2018-07-01 05:16:56,53,6.33, :(, Away from home,61,8209,7

